features,,,,,,,,
x,Spanish,AAVE,Non_Word,Swear_word,Drug_ref,Structure,likely_rap,likely_hiphop
head,,,,,,,,
heart,,,,,,,,
heat,,,,,,,,
hell,,,,,,,,
hello,,,,,,,,
help,,,,,,,,
higher,,,,,,,,
hit,,,,,1,,,
hits,,,,,,,,
hittin,,,,,1,,,
ho,,1,,1,,,,
hoes,,1,,1,,,,
holdin,,,,,,,,
hole,,,,,,,,
holla,,1,,,,,,
homie,,1,,,,,,
homies,,1,,,,,,
honey,,,,,,,,
hood,,1,,,,,,
hook,,,,,,1,,
hope,,,,,,,,
huh,,,1,,,,,
hundred,,,,,,,,
hurt,,,,,,,,
hurts,,,,,,,,
i.ma,,1,,,,,,
i.mma,,1,,,,,,
ill,,,,,,,,1
im,,,,,,,1,
inside,,,,,,,,
instrumental,,,,,,1,,
interlude,,,,,,1,,
jam,,1,,,,,,
jet,,,,,,,,
job,,,,,,,,
john,,,,,,,,
k,,,,,,,,
keys,,,,,,,,
kick,,,,,,,,
kid,,,,,,,,
kill,,,,,,,,
killed,,,,,,,,
killers,,,,,,,,
killin,,,,,,,,
killing,,,,,,,,
kind,,,,,,,,
kiss,,,,,,,,
kitchen,,,,,,,,
knew,,,,,,,,
knock,,,,,,,,
known,,,,,,,,
l,,,,,,,,
lady,,,,,,,,
lane,,,,,,,,
lately,,,,,,,,
later,,,,,,,,
le,1,,,,,,1,
learned,,,,,,,,
legs,,,,,,,,
les,1,,,,,,1,
letra,1,,,,,,1,
lick,,,,,,,,
lift,,,,,,,,
light,,,,,,,,
lil,,1,,,,,1,
line,,,,,1,,,
lips,,,,,,,,
live,,,,,,,,
livin,,,,,,,,
lo,1,,,,,,1,
long,,,,,,,,
looked,,,,,,,,
lookin,,,,,,,,
looking,,,,,,,,
looks,,,,,,,,
loose,,,,,,,,
lord,,,,,,,,
los,1,,,,,,1,
losing,,,,,,,,
lost,,,,,,,,
lot,,,,,,,,
louis,,,,,,,,
loved,,,,,,,,
lover,,,,,,,,
loving,,,,,,,,
low,,,,,,,,
lyin,,,,,,,,
mac,,,,,,,,
mad,,,,,,,,
made,,,,,,,,
magic,,,,,,,,
main,,,,,,,,
making,,,,,,,,
mama,,,,,,,,
many,,,,,,,,
master,,,,,,,,
maybe,,,,,,,,
mean,,,,,,,,
means,,,,,,,,
meet,,,,,,,,
mess,,,,,,,,
message,,,,,,,,
met,,,,,,,,
mi,1,,,,,,,
mic,,1,,,,,,1
middle,,,,,,,,
mike,,,,,,,,
miles,,,,,,,,
million,,,,,,,,
minute,,,,,,,,
mirror,,,,,,,,
miss,,,,,,,,
mission,,,,,,,,
mo,,1,,,,,,
mom,,,,,,,,
moment,,,,,,,,
momma,,1,,,,,,
money,,,,,,,,
